style-scope src,Link to Commentor Account,Commentor,Comment Date,yt-simple-endpoint href 2,Comment,Likes,Replies
https://yt3.ggpht.com/ytc/AIdro_n-T0bcHafA9qRozOzCfceoMDZyju94w2sWIMxOo8o=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@patrickchurch2284,@patrickchurch2284,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwYpQW5yn8VqWM-5Sh4AaABAg,It’s a CRIME this music was not in the movie,12K,172 replies
https://yt3.ggpht.com/nXtN318NjK8Xn_oqT9JsuAo4pMJiUVkGGP9JCSicNrPg51hcett6V4cvI15f5_v1VvgOUEUivA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Shnibbs777,@Shnibbs777,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwGzn3CRQ2Lc_A667B4AaABAg,"Vader: How many pizzas should we order?

Palpatine: Order 66",21K,172 replies
https://yt3.ggpht.com/ytc/AIdro_mKXuQ8a1TJMHRGKMgy1jcKPVWIa0oY_TxgUDqRpmNPow=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@niamhha9014,@niamhha9014,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugz3mCnrp9icEN8KVD54AaABAg,"""The end of a saga.""

There's some people who've heard that about Star Wars for the third time in their lives.",11K,96 replies
https://yt3.ggpht.com/IZgXsAeaefAXYV-9NbRrwh-wHx6QXuFYuXQtZVYNesz4xgHvfAkyL7_XoG5HaA6RnRSFGHAV=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@JohnnyCashFanatic,@JohnnyCashFanatic,6 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxuA1Ac2CAONMfxCRp4AaABAg,Keep your fingers crossed Palpatine says “Dew it” at least once in the movie,30K,342 replies
https://yt3.ggpht.com/ytc/AIdro_mjlxjqiyWcSz8pRdsQ6A4P3_IHODF9ImA7PaE5UcYGPgw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@clarkm7645,@clarkm7645,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgwRaKc70GcfRIVIL9F4AaABAg,"Disney: “The saga will end”

Also Disney: “There is another”",12K,85 replies
https://yt3.ggpht.com/V-FhUfK8SUmkcG8J13CZKgQV4MGHWM92bBUkogAz09dzskXrNzRGbZAiFYdKcsvY9_B60OYM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@RetroGamingDude02,@RetroGamingDude02,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgyzJOgYj0hOXkEe2-54AaABAg,"2019: The Saga Ends

2020: Star Wars: A Star Wars Story",7.7K,33 replies
https://yt3.ggpht.com/sfPkGjDrIRqQ3BLsMrIfjcKq2GiIPfrDpehWXOT0dGSD0XVY-sFmSgx4YNy18qp7sc4ex4N3=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@K-2SO,@K-2SO,5 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugwz04153kpqyL8ORZx4AaABAg,"""The Saga Will end""",5.2K,69 replies
https://yt3.ggpht.com/08FEieDegYUhaBU5QfmFJXaxpPKHIQLppcWSPTlUQG8yICwnwu0qhbt_OEpjPBm7DtDVeTKlMg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@wow5890,@wow5890,6 years ago (edited),https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=Ugy9NTcNN7rvQptxLfF4AaABAg,When you die but you see somebody who hasn’t heard the tragedy of darth plagueis the wise.,3.7K,19 replies
https://yt3.ggpht.com/RftLRYHZ6ByYELeoBIo4DaKpUIDjU_-eFMduIYGZc0tOy74h6x7emwu3Qa13IgWHctjPfSH6=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@farisimran_,@farisimran_,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgzMbEERl1iYQboFZcN4AaABAg,"*a few hous later...

Looper: 1000 details you missed in the new star wars trailer",300,7 replies
https://yt3.ggpht.com/ytc/AIdro_nOwxXTetgEKKtPrf7s8yRRHIO-iaWWFAsV5X3uQI5j0Cw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@craigdorrian7391,@craigdorrian7391,6 years ago,https://www.youtube.com/watch?v=8Qn_spdM5Zg&lc=UgxCg34tJW3GOvP37kh4AaABAg,Can’t wait until Palpatine tells Ray about the tragedy of Darth Plagueis the Wise,2.1K,33 replies
